ingredient_name,ingredient_subtitle,category,subcategory,storage_condition,shelf_life_min_days,shelf_life_max_days,shelf_life_days,recommended_temp_c,data_source,confidence,notes
Cream,"whipped, sweetened",Dairy Products & Eggs,,Refrigerated,1.0,1.0,1.0,,USDA FoodKeeper,sourced,
Cream,"whipped, sweetened",Dairy Products & Eggs,,Frozen,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
Eggs,"raw whites, yolks",Dairy Products & Eggs,,Refrigerated,2.0,4.0,3.0,,USDA FoodKeeper,sourced,
Eggs,"raw whites, yolks",Dairy Products & Eggs,,Frozen,360.0,360.0,360.0,,USDA FoodKeeper,sourced,
Eggs,hard boiled cooked,Dairy Products & Eggs,,Refrigerated,7.0,7.0,7.0,,USDA FoodKeeper,sourced,
Egg dishes,,Dairy Products & Eggs,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Egg dishes,,Dairy Products & Eggs,,Frozen,60.0,90.0,75.0,,USDA FoodKeeper,sourced,
Whipped topping,tub,Dairy Products & Eggs,,Frozen,420.0,420.0,420.0,,USDA FoodKeeper,sourced,
Yogurt,,Dairy Products & Eggs,,Frozen,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
Jerky,homemade,Meat,Shelf Stable Foods,Pantry,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
Jerky,homemade,Meat,Shelf Stable Foods,Refrigerated,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
"Stuffed, raw chicken breasts",,Poultry,Stuffed or Assembled,Refrigerated,1.0,2.0,1.5,,USDA FoodKeeper,sourced,
"Stuffed, raw chicken breasts",,Poultry,Stuffed or Assembled,Frozen,270.0,270.0,270.0,,USDA FoodKeeper,sourced,
Raw kabobs with vegetables,,Poultry,Stuffed or Assembled,Refrigerated,1.0,2.0,1.5,,USDA FoodKeeper,sourced,
Raw kabobs with vegetables,,Poultry,Stuffed or Assembled,Frozen,90.0,120.0,105.0,,USDA FoodKeeper,sourced,
Cooked poultry dishes,,Poultry,Cooked or Processed,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Cooked poultry dishes,,Poultry,Cooked or Processed,Frozen,120.0,180.0,150.0,,USDA FoodKeeper,sourced,
Fried chicken,,Poultry,Cooked or Processed,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Fried chicken,,Poultry,Cooked or Processed,Frozen,120.0,120.0,120.0,,USDA FoodKeeper,sourced,
Poultry pieces,covered with gravy or broth,Deli & Prepared Foods,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Poultry pieces,covered with gravy or broth,Deli & Prepared Foods,,Frozen,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
Cooked fish,all,Seafood,Fresh,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Cooked fish,all,Seafood,Fresh,Frozen,30.0,60.0,45.0,,USDA FoodKeeper,sourced,
Crab meat,fresh,Seafood,Shellfish,Refrigerated,1.0,3.0,2.0,,USDA FoodKeeper,sourced,
Crab meat,fresh,Seafood,Shellfish,Frozen,60.0,120.0,90.0,,USDA FoodKeeper,sourced,
Cooked shellfish,all,Seafood,Shellfish,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
Re-hydrated textured soy protein,(TSP),Vegetarian Proteins,,Refrigerated,3.0,4.0,3.5,,USDA FoodKeeper,sourced,
